archetype,n_rollouts,avg_score,p2_avg_score,delta_avg_score,avg_part_a,p2_avg_part_a,delta_avg_part_a,avg_part_b,p2_avg_part_b,delta_avg_part_b,reward_mean,accepted_rate,avg_interventions,avg_experiments,avg_turns,termination_counts
confounded_chain,80,0.42223125,0.38473125,0.03749999999999998,0.44575,0.3874375,0.05831249999999999,0.3987125,0.382025,0.016687500000000022,0.40913730197498577,0.05,2.7875,4.2625,6.275,"{""answer"":77,""input_length"":3}"
collider_selection,80,0.35441875,0.3593625,-0.004943749999999969,0.3805,0.3658125,0.01468750000000002,0.3283375,0.3529125,-0.024575000000000014,0.3441593253968254,0.0125,2.925,4.5,6.25,"{""answer"":75,""input_length"":5}"
hidden_subtype,80,0.27043125,0.25781875,0.012612500000000026,0.16885,0.15655,0.012300000000000005,0.37201249999999997,0.3590875,0.012924999999999964,0.2626895299145299,0.0,2.6125,3.9875,6.125,"{""answer"":75,""input_length"":5}"
surrogate_trap,80,0.3513625,0.36941250000000003,-0.01805000000000001,0.3956375,0.4145875,-0.018950000000000022,0.3070875,0.3242375,-0.01715,0.3424006025224775,0.0125,2.8375,4.3,6.1375,"{""answer"":76,""input_length"":4}"
instrument_only,80,0.31586250000000005,0.32406250000000003,-0.008199999999999985,0.2720125,0.2911625,-0.01915,0.3597125,0.3569625,0.0027499999999999747,0.30359180194805196,0.0125,2.975,4.675,7.125,"{""answer"":73,""input_length"":7}"
competing_causes,80,0.40819374999999997,0.42748749999999996,-0.01929375,0.40657499999999996,0.43224999999999997,-0.025675000000000003,0.40981249999999997,0.42272499999999996,-0.012912499999999993,0.39631537389876204,0.0,2.75,4.2125,6.1,"{""answer"":77,""input_length"":3}"
synergy_pair,80,0.3012375,0.32500625,-0.023768750000000005,0.21390000000000003,0.2336375,-0.019737499999999963,0.388575,0.41637500000000005,-0.027800000000000047,0.2926268961940837,0.0,2.8875,4.45,6.6,"{""answer"":79,""input_length"":1}"
dose_window,80,0.39233125,0.33344375,0.05888750000000004,0.43206249999999996,0.37165,0.06041249999999998,0.3526,0.2952375,0.05736250000000004,0.3792417552557307,0.0,2.3875,4.025,6.0125,"{""answer"":71,""input_length"":9}"
confounded_reversal,80,0.23258125000000002,0.251975,-0.019393749999999987,0.1547625,0.18332500000000002,-0.02856250000000002,0.3104,0.32062500000000005,-0.01022500000000004,0.2259115629672615,0.0,2.8875,4.7125,6.8125,"{""answer"":72,""input_length"":8}"
